id,data,label
91,T thắc mắc về vòng rừng sao k đánh vòng rừng cánh dưới 3 bãi gank bot như Kanavi hay làm mà trận này lại đánh vòng rừng cánh trên nhỉ? Tại đã pick Draven Milio thì ý đồ là muốn có thế ép dưới bot và lúc đầu đẩy được khiến Nami bấm biến về. Nhưng lại phá sản khi Skarner gank thành công cho Lucian ăn 2 mạng. Cuzz quá quái khi di chuyển hay đánh lạc hướng cả team chứ gank pha đó xong là game này cook rồi,Neutral
92,"1. Nocturne gank đầu game yếu vì không có nhiều khống chế và chống chịu, và champ này cần hướng tới lv6 nhanh nhất có thể.
2. HLE có 1 con mắt ở bùa xanh KT để phát hiện Cuzz ở đó --> Kanavi qua cướp rừng để tối ưu tốc độ lên lv6.
T nghĩ đó là ý đồ của team, và cũng không ngờ được rằng Cuzz sẽ đi gank luôn thay vì cướp rừng để gỡ lại bãi quái bị cướp.",Positive
93,Ý là mình có đọc meta tốt lắm hok ạ thấy đéo tốt lắm cứ champ nào tận dụng meta tốt thì mình nhả hả 🧎‍♀️,Neutral
94,"Trong hầu hết các pha giao tranh quyết định, KT đã sử dụng 50-80% công cụ phá giao tranh (disengage) của họ lên Doran. Đây không phải cách tôi chơi Camille trong xếp hạng đơn, nhưng khi có đồng đội theo sau và trừng phạt thời gian hồi chiêu của đối thủ, Camille chính là một 'hố trụ tài nguyên' (resource sink) cực kỳ tốt. Nó không gây ấn tượng trên chỉ số K/D hay biểu đồ sát thương, nhưng KT đơn giản là phải ngăn chặn Doran, điều đó đã mở ra cơ hội cho phần còn lại của T1 ",Neutral
95,"Khúc đó nó lấy đc lá chắn, lấy máu đẩy kaisa lùi về, lấy thêm 2 giáp trụ.",Neutral
96,"T k nhìn nhầm thì có đoạn th Guma lấy lá chắn adc team bạn và ép ngta phải biến về với thế lính xấu á, từ đó hơn quá trời luôn",Positive
97,"Trước đó tui chưa coi nhưng mà với cái bot đó tranh sao nủi =)))) top thì là con chim early yếu nữa, nma chim cũng hay nên cũng gánh lại 1 phần dùm susi nữa",Neutral
98,ruler không che đc phát nào đâu :))) đứng cho xôm thôi á 🥹,Neutral
99,Vẫn chưa hiểu sao trước khi kết thúc vđe thì cứ phải có từ Peanut xuất hiện trước đã,Neutral
100,  😭 nó chiếm hết diện tích luôn bồ ơi,Neutral
101,ủa t đọc thấy 24 các nước mới công bố ds dần dần á nay duyệt thôi,Neutral
