id,data,label_huy,label_ngan,label_choe
59,Đếch quan tâm Guma dễ thương nên quan tâm nhỏ thuii,positive,neutral,positive
60,"Chơi kaisa mà toàn lao vào mở, tìm góc make play không ấy =)))) nó R lần nào team bạn hú hồn lần đó, rất ảo thuật",neutral,positive,positive
67,cha mẹ nó chắc tự hào về nó lắm 🥹,negative,neutral,positive
69,2-0 đánh con Leesin quá bá 18/2/5,positive,neutral,positive
70,Cố lênnnnnnnnnn,neutral,positive,positive
73,"Dk hơi hừng thật nma corki hay thật mà, anti thấy hle thắng cay đổ hết cho dk hừng nhưng con corki nó bị aim suốt mà đánh tỉnh táo vl =)))
Game 1 tui đi mua đồ vào coi đã 0/4, chuyện gì đã xảy ra vậy …",neutral,negative,neutral
78,"dạ 173 ạaa
em cảm ơn chị đã GA ạ",positive,neutral,neutral
85,Ê. Ước j bên Gustone lên donate r nhắc nó vụ này ha🤣🤣🤣,negative,neutral,neutral
87,Anh Cuzz cũng quái vl ra ảnh biết thằng Guma hay đề phòng mấy quả gank early của ảnh nên ảnh chơi chiêu z đó 😭,positive,neutral,neutral
92,"1. Nocturne gank đầu game yếu vì không có nhiều khống chế và chống chịu, và champ này cần hướng tới lv6 nhanh nhất có thể.
2. HLE có 1 con mắt ở bùa xanh KT để phát hiện Cuzz ở đó --> Kanavi qua cướp rừng để tối ưu tốc độ lên lv6.
T nghĩ đó là ý đồ của team, và cũng không ngờ được rằng Cuzz sẽ đi gank luôn thay vì cướp rừng để gỡ lại bãi quái bị cướp.",positive,neutral,neutral
93,Ý là mình có đọc meta tốt lắm hok ạ thấy đéo tốt lắm cứ champ nào tận dụng meta tốt thì mình nhả hả 🧎‍♀️,neutral,negative,neutral
96,"T k nhìn nhầm thì có đoạn th Guma lấy lá chắn adc team bạn và ép ngta phải biến về với thế lính xấu á, từ đó hơn quá trời luôn",positive,neutral,neutral
